Sample Name,Plate,Column,Row,Species,Lat,Long,Location,Precipitation,Radiation,AverageTemperature,MaxTemperature,VapourPressure,AverageWindSpeed,Year,BGI pot,RLV,LMV,MV1,MV2,SBPV,ABPV,
M106,1,1,A,monticola,55.796,-3.404,Pentlands,6.08258038258037,-387.133129833132,-0.792071672566934,-0.605272910145667,-0.047749925089117,0.875877124650911,2009,M,0,0,0,0,0,NA,
M155,1,1,C,monticola,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,M,0,0,0,0,1,NA,
M038,1,1,D,jonellus,56.436,-6.341,Staffa,9.88258038258037,857.666870166868,0.327928530883668,-0.265272376088067,0.072250079679254,0.569210432552931,2009,J1,0,0,0,0,1,NA,
M335,1,1,F,lucorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,L16,0,0,0,0,0,NA,
M161,1,2,D,lucorum,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,,0,0,0,0,1,NA,
M201,1,2,E,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J7,0,0,0,0,1,NA,
M207,1,2,F,bohemicus,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,BO,0,0,0,0,1,NA,
M178,1,2,G,hortorum,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,H8,0,0,0,0,1,NA,
M206,1,2,H,monticola,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,,0,0,0,0,1,1,
M053,1,3,A,jonellus,56.436,-6.341,Staffa,9.88258038258037,857.666870166868,0.327928530883668,-0.265272376088067,0.072250079679254,0.569210432552931,2009,J2,0,0,0,0,0,NA,
M104,1,3,C,bohemicus,55.796,-3.404,Pentlands,6.08258038258037,-387.133129833132,-0.792071672566934,-0.605272910145667,-0.047749925089117,0.875877124650911,2009,BO,0,0,0,0,0,NA,
M360,1,3,D,lapidarius,56.149,-3.916,Stirling,-6.45075295075293,-160.133129833132,0.934595032246767,1.19472747132403,0.029583453702694,-1.01745624682939,2009,LA4,0,0,0,0,1,NA,
M198,1,3,E,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J6,0,0,0,0,1,1,
M170,1,3,F,jonellus,56.935,-4.245,Dalwhinnie,1.30640914233971,-0.542581352820714,-1.41392110249308,-1.00807646788022,-1.27666447803474,-0.855709961193459,2009,J7,0,0,0,0,1,NA,
M168,1,3,G,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J4,0,0,0,0,1,NA,
M035,1,4,A,jonellus,56.436,-6.341,Staffa,9.88258038258037,857.666870166868,0.327928530883668,-0.265272376088067,0.072250079679254,0.569210432552931,2009,J1,0,0,0,0,1,NA,
M182,1,4,B,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J5,0,0,0,0,1,NA,
M076,1,4,C,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,0,0,0,0,1,0,
M333,1,4,D,terrestris,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,T16,0,0,0,0,1,NA,
M222,1,4,E,magnus,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,MA,0,0,0,0,1,NA,
M200,1,4,F,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J6,0,0,0,0,1,NA,
M308,1,5,A,lucorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,L16,0,0,0,0,1,NA,
M227,1,5,D,cryptarum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,C1,0,0,0,0,1,NA,
M194,1,5,E,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J6,0,0,0,0,1,NA,
M237,1,5,F,lucorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,,0,0,0,0,1,NA,
M090,1,5,G,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,0,0,0,0,1,NA,
M188,1,5,H,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,,0,0,0,0,0,0,
M156,1,6,A,monticola,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,M,0,0,0,0,1,NA,
M093,1,6,C,monticola,55.796,-3.404,Pentlands,6.08258038258037,-387.133129833132,-0.792071672566934,-0.605272910145667,-0.047749925089117,0.875877124650911,2009,M,0,0,0,0,1,NA,
M339,1,6,F,terrestris,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,T15,0,0,0,0,1,NA,
M186,1,6,G,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,,0,0,0,0,1,0,
M319,1,6,H,lucorum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,,0,0,0,0,0,0,
M172,1,7,A,hortorum,56.935,-4.245,Dalwhinnie,1.30640914233971,-0.542581352820714,-1.41392110249308,-1.00807646788022,-1.27666447803474,-0.855709961193459,2009,H8,0,0,0,0,1,NA,
M085,1,7,C,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,0,0,0,0,1,NA,
M185,1,7,D,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J5,0,0,0,0,1,NA,
M211,1,7,F,cryptarum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,C1,0,0,0,0,1,NA,
